TableName;ApproxRowCount;CreatedDate;ColumnCount
T_HistoryVK;FWDeko;30;float;;53;YES
T_HistoryVK;IdVpkVorschrift;31;int;;10;NO
T_HistoryVK;FrachtkostenJePalette;32;float;;53;YES
T_HistoryVK;Rueckfrachtkosten;33;float;;53;YES
T_HistoryVK;KdArtNr;34;nvarchar;100;;YES
T_HistoryVK;KdArtBez;35;nvarchar;100;;YES
T_HistoryVK;TabellenNr;36;int;;10;NO
T_HistoryVK;StandardKunde;37;bit;;;NO
T_HistoryVK;MPAlpla;38;float;;53;YES
T_HistoryVK;MPAlplaProzent;39;float;;53;YES
T_HistoryVK;MPKundeProzent;40;float;;53;YES
T_HistoryVK;BewertungsPreis;41;float;;53;YES
T_HistoryVK;FWMPAlpla;42;float;;53;YES
T_HistoryVK;Aktiv;43;int;;10;YES
T_HistoryVK;IdFibuKonto;44;int;;10;YES
T_HistoryVK;KursFW;45;float;;53;YES
T_HistoryVK;KursDatum;46;datetime;;;YES
T_HistoryVK;PreisTyp;47;int;;10;YES
T_HistoryVK;GueltigbisDatum;48;datetime;;;YES
T_HistoryVK;GueltigkeitsDauer;49;int;;10;YES
T_HistoryVK;InklusiveDom;50;int;;10;YES
T_HistoryVK;GeplanteRundfahrtHaeufigkeit;51;float;;53;YES
T_HistoryVK;IdVerkaufsMarkt;52;int;;10;YES
T_HistoryVK;IdVerkaufsMarktSegment;53;int;;10;YES
T_HistoryVK;COA;54;int;;10;YES
T_HistoryVK;RuheZeitAktiv;55;int;;10;YES
T_HistoryVK;Bestrahlt;56;int;;10;YES
T_HistoryVKImport;IdHistoryVKImport;1;int;;10;NO
T_HistoryVKImport;IdArtikelvarianten;2;int;;10;NO
T_HistoryVKImport;IdAdressen;3;int;;10;NO
T_HistoryVKImport;IdVpkVorschrift;4;int;;10;NO
T_HistoryVKImport;GueltigabDatum;5;datetime;;;NO
T_HistoryVKImport;Bemerkung;6;nvarchar;255;;NO
T_HistoryVKImport;FWVKPreis;7;float;;53;NO
T_HistoryVKImport;FWMPB;8;float;;53;NO
T_HistoryVKImport;FWFDF;9;float;;53;NO
T_HistoryVKImport;FWAufbringung;10;float;;53;NO
T_HistoryVKImport;FWDeko;11;float;;53;NO
T_HistoryVKImport;KdArtNr;12;nvarchar;100;;NO
T_HistoryVKImport;KdArtBez;13;nvarchar;100;;NO
T_HistoryVKImport;MPAlpla;14;float;;53;NO
T_HistoryVKImport;Bewertungspreis;15;float;;53;NO
T_HistoryVKImport;FWMPAlpla;16;float;;53;NO
T_HistoryVKImport;PreisTyp;17;int;;10;NO
T_HistoryVKImport;GueltigkeitsDauer;18;int;;10;NO
T_HistoryVKImport;GeplanteRundfahrtHaeufigkeit;19;float;;53;NO
T_HistoryVKImport;IdVerkaufsMarkt;20;int;;10;NO
T_HistoryVKImport;IdVerkaufsMarktSegment;21;int;;10;NO
