TABLE_SCHEMA;TABLE_NAME;COLUMN_NAME;DATA_TYPE;CHARACTER_MAXIMUM_LENGTH;IS_NULLABLE;ORDINAL_POSITION
dbo;T_Bestellungen;Status;int;NULL;YES;3
dbo;T_Bestellungen;UebermittlungsStatus;int;NULL;YES;4
dbo;T_Bestellungen;IdJournal;int;NULL;NO;5
dbo;T_Bestellungen;Add_User;nvarchar;50;NO;6
dbo;T_Bestellungen;Add_Date;datetime;NULL;NO;7
dbo;T_Bestellungen;Upd_User;nvarchar;50;YES;8
dbo;T_Bestellungen;Upd_Date;datetime;NULL;YES;9
dbo;T_Bestellungen;JournalNummer;nvarchar;50;YES;10
dbo;T_Bestellungen;Bestaetigt;int;NULL;YES;11
dbo;T_Bestellungen;Revision;int;NULL;YES;12
dbo;T_Bestellungen;IdKundenAdresse;int;NULL;YES;13
dbo;T_Bestellungen;IdLieferAdresse;int;NULL;YES;14
dbo;T_Bestellungen;IdRechnungsAdresse;int;NULL;YES;15
dbo;T_Bestellungen;Bemerkung;nvarchar;1024;YES;16
dbo;T_Bestellungen;IdZahlKond;int;NULL;YES;17
dbo;T_Bestellungen;Skonto;float;NULL;YES;18
dbo;T_Bestellungen;SkontoTage;int;NULL;YES;19
dbo;T_Bestellungen;NettoTage;int;NULL;YES;20
dbo;T_Bestellungen;AXAuftragsNummer;nvarchar;50;NO;21
dbo;T_BestellungenJournal;IdBestellungJournal;int;NULL;NO;1
dbo;T_BestellungenJournal;IdBestellung;int;NULL;NO;2
dbo;T_BestellungenJournal;IdJournal;int;NULL;NO;3
dbo;T_BestellungenJournal;Revision;int;NULL;NO;4
dbo;T_BestellungenJournal;Add_User;nvarchar;50;NO;5
dbo;T_BestellungenJournal;Add_Date;datetime;NULL;NO;6
dbo;T_BestellungenJournal;Upd_User;nvarchar;50;YES;7
dbo;T_BestellungenJournal;Upd_Date;datetime;NULL;YES;8
dbo;T_Bestellvorschlaege;IdBestellvorschlag;int;NULL;NO;1
dbo;T_Bestellvorschlaege;IdBestellung;int;NULL;YES;2
dbo;T_Bestellvorschlaege;IdLieferant;int;NULL;NO;3
dbo;T_Bestellvorschlaege;IdArtikelVarianten;int;NULL;NO;4
dbo;T_Bestellvorschlaege;BestellDatum;datetime;NULL;NO;5
dbo;T_Bestellvorschlaege;Lieferdatum;datetime;NULL;NO;6
dbo;T_Bestellvorschlaege;BestellMenge;float;NULL;NO;7
dbo;T_Bestellvorschlaege;BestellMengeVPK;float;NULL;NO;8
dbo;T_Bestellvorschlaege;Add_User;nvarchar;50;NO;9
dbo;T_Bestellvorschlaege;Add_Date;datetime;NULL;NO;10
dbo;T_Bestellvorschlaege;Upd_User;nvarchar;50;YES;11
dbo;T_Bestellvorschlaege;Upd_Date;datetime;NULL;YES;12
